480
1440
2400
2880
3360
4320
4800
5280
5760
6240
6720
7200
7680
8160
8640
9120
9600
10080
10560
11040
11520
12000
12480
12960
13440
13920
14400
14880
15360
15840
16320
16800
17280
17760
18240
18720
19200

//excel用
480	-1
480	1
480	-1
1440	-1
1440	1
1440	-1
2400	-1
2400	1
2400	-1
2880	-1
2880	1
2880	-1
3360	-1
3360	1
3360	-1
4320	-1
4320	1
4320	-1
4800	-1
4800	1
4800	-1
5280	-1
5280	1
5280	-1
5760	-1
5760	1
5760	-1
6240	-1
6240	1
6240	-1
6720	-1
6720	1
6720	-1
7200	-1
7200	1
7200	-1
7680	-1
7680	1
7680	-1
8160	-1
8160	1
8160	-1
8640	-1
8640	1
8640	-1
9120	-1
9120	1
9120	-1
9600	-1
9600	1
9600	-1
10080	-1
10080	1
10080	-1
10560	-1
10560	1
10560	-1
11040	-1
11040	1
11040	-1
11520	-1
11520	1
11520	-1
12000	-1
12000	1
12000	-1
12480	-1
12480	1
12480	-1
12960	-1
12960	1
12960	-1
13440	-1
13440	1
13440	-1
13920	-1
13920	1
13920	-1
14400	-1
14400	1
14400	-1
14880	-1
14880	1
14880	-1
15360	-1
15360	1
15360	-1
15840	-1
15840	1
15840	-1
16320	-1
16320	1
16320	-1
16800	-1
16800	1
16800	-1
17280	-1
17280	1
17280	-1
17760	-1
17760	1
17760	-1
18240	-1
18240	1
18240	-1
18720	-1
18720	1
18720	-1
19200	-1
19200	1
19200	-1

